Date,Low,Open,Volume,High,Close,Adjusted Close
16-12-1993,45.0,45.0,7162.0,46.0,45.0,45.0
17-12-1993,45.0,46.0,5050.0,46.0,46.0,46.0
20-12-1993,45.0,45.0,775.0,46.0,45.0,45.0
21-12-1993,45.0,46.0,2200.0,46.0,46.0,46.0
22-12-1993,45.0,46.0,525.0,46.0,46.0,46.0
23-12-1993,45.0,45.0,675.0,46.0,45.0,45.0
27-12-1993,45.0,45.0,450.0,45.0,45.0,45.0
28-12-1993,45.0,45.25120162963867,1337.0,46.0,45.25120162963867,45.25120162963867
29-12-1993,45.0,45.0,2925.0,46.0,45.0,45.0
30-12-1993,45.0,46.0,1312.0,46.0,46.0,46.0
31-12-1993,46.0,46.0,0.0,46.0,46.0,46.0
03-01-1994,45.0,47.0,450.0,47.0,47.0,47.0
04-01-1994,45.0,48.0,287.0,48.0,48.0,48.0
05-01-1994,47.0,54.0,21850.0,54.0,54.0,54.0
06-01-1994,51.0,53.0,1900.0,55.0,53.0,53.0
07-01-1994,52.0,53.0,1537.0,55.0,53.0,53.0
10-01-1994,51.0,53.0,6137.0,54.0,53.0,53.0
11-01-1994,53.0,59.0,7250.0,59.0,59.0,59.0
12-01-1994,55.0,58.0,7637.0,60.0,58.0,58.0
13-01-1994,54.0,54.0,3650.0,57.0,54.0,54.0
14-01-1994,54.0,54.0,1362.0,56.0,54.0,54.0
17-01-1994,54.0,54.0,262.0,56.0,54.0,54.0
18-01-1994,54.0,54.0,400.0,56.0,54.0,54.0
19-01-1994,54.0,56.0,1125.0,56.0,56.0,56.0
20-01-1994,53.0,56.0,962.0,56.0,56.0,56.0
21-01-1994,54.0,54.0,1525.0,57.0,54.0,54.0
24-01-1994,54.0,54.0,2200.0,57.0,54.0,54.0
25-01-1994,54.0,57.0,2375.0,57.0,57.0,57.0
26-01-1994,55.0,56.0,2375.0,57.0,56.0,56.0
27-01-1994,55.0,55.0,2375.0,57.0,55.0,55.0
28-01-1994,55.0,55.0,100.0,55.0,55.0,55.0
31-01-1994,55.0,55.0,662.0,55.0,55.0,55.0
01-02-1994,55.0,55.0,1600.0,57.0,55.0,55.0
02-02-1994,55.0,55.0,2000.0,57.0,55.0,55.0
03-02-1994,55.0,57.0,1212.0,57.0,57.0,57.0
